,open,close
2015-11-10,23.5,24.79
2015-11-09,22.04,22.54
2015-11-06,22.18,22.33
2015-11-05,22.3,22.2
2015-11-04,20.95,21.85
2015-11-03,20.89,20.89
2015-11-02,20.35,20.44
2015-10-30,20.85,20.61
2015-10-29,21.02,20.94
2015-10-28,21.9,20.62
2015-10-27,21.49,21.79
2015-10-26,23.32,21.85
2015-10-23,21.21,22.43
2015-10-22,18.65,20.39
2015-10-21,19.96,18.54
2015-10-20,19.86,19.95
2015-10-19,20.55,19.65
2015-10-16,20.32,20.4
2015-10-15,18.61,19.96
2015-10-14,18.15,18.9
2015-10-13,16.61,18.5
2015-10-12,16.2,16.81
2015-10-09,16.11,16.19
2015-10-08,16.03,16.27
2015-09-30,15.3,15.67
2015-09-29,14.96,15.47
2015-09-28,14.95,15.08
2015-09-25,15.5,15.29
2015-09-24,15.22,15.4
2015-09-23,14.94,15.15
2015-09-22,14.53,14.97
2015-09-21,13.9,14.55
2015-09-18,14.1,14.02
2015-09-17,14.58,13.95
2015-09-16,13.43,14.64
2015-09-15,13.74,13.34
2015-09-14,16.62,14.46
2015-09-11,15.0,16.07
2015-09-10,14.0,14.62
2015-09-09,13.95,14.63
2015-09-08,12.89,13.85
2015-09-07,12.92,12.77
2015-09-02,12.3,12.36
2015-09-01,14.78,13.46
2015-08-31,16.13,14.95
2015-08-28,15.4,16.46
2015-08-27,15.5,14.97
2015-08-26,17.0,15.56
2015-08-25,17.29,17.29
2015-08-24,20.0,19.21
2015-08-21,20.62,20.36
2015-08-20,20.98,21.29
2015-08-19,19.0,20.79
2015-08-18,22.4,20.16
2015-08-17,21.67,22.4
2015-08-14,21.61,21.95
2015-08-13,20.23,21.41
2015-08-12,19.35,20.0
2015-08-11,19.6,19.7
2015-08-10,18.22,19.54
2015-08-07,17.47,17.98
2015-08-06,16.94,17.35
2015-08-05,17.4,17.51
2015-08-04,16.2,17.35
2015-08-03,17.39,15.77
2015-07-31,17.71,17.51
2015-07-30,19.44,18.6
2015-07-29,19.12,19.45
2015-07-28,18.76,18.65
2015-07-27,22.3,20.69
2015-07-24,24.0,22.99
2015-07-23,23.2,24.14
2015-07-22,21.24,22.5
2015-07-21,20.85,21.23
2015-07-20,21.1,21.16
2015-07-17,20.5,21.12
2015-07-16,19.98,20.08
2015-07-15,22.78,22.1
2015-07-14,26.4,24.56
2015-07-13,25.63,27.28
2015-07-10,22.2,25.61
2015-07-01,25.0,23.27
2015-06-30,23.82,25.01
2015-06-29,26.5,23.83
2015-06-26,27.0,25.29
2015-06-25,28.0,26.97
2015-06-24,27.6,28.05
2015-06-23,26.8,27.19
2015-06-19,30.98,28.07
2015-06-18,30.94,31.2
2015-06-17,31.45,31.33
2015-06-16,30.48,32.35
2015-06-15,34.99,31.69
2015-06-12,34.69,35.21
